2,Great CD,"My lovely Pat has one of the GREAT voices of her generation. I have listened to this CD for YEARS and I still LOVE IT. When I'm in a good mood it makes me feel better. A bad mood just evaporates like sugar in the rain. This CD just oozes LIFE. Vocals are jusat STUUNNING and lyrics just kill. One of life's hidden gems. This is a desert isle CD in my book. Why she never made it big is just beyond me. Everytime I play this, no matter black, white, young, old, male, female EVERYBODY says one thing ""Who was that singing ?"""
2,Sassy Baby Warming Dish. Interesting concept.,"We tried the Baby warming dish. We found that for our 1 year old it was pretty small, and didn't really hold enough water to keep her warm.I think it would work ok for an infant, although I think a blanket would work just as well.Recommendation:Buy********************HoldSell"
1,Unreadable!,"As good as this book may be, the print quality is so bad that I cannot read it. Zero stars would have been more appropriate."
1,Used for circuits project,"I used the generator for a circuits project and it works pretty well with little resistance, however the wire connections seemed cheap and very loose. I would recommend buying a battery powered one with rechargeable batteries if you're worried about the environment."
1,Two Tedious Hours,"The early success of Adam Sandler's films gave him this mistaken impression that he was an actor and a writer. This film proves he is neither - and a grating voice-over guy to boot. I enjoyed Happy Gilmore and to a much lesser degree, Little Nicky and Big Daddy. But Sandler is a one-trick pony. We've all seen the trick, so it's just not interesting anymore. I thought this might be the one Hanukah film in a world of X-mas fare. It has nothing to do with the holiday and is definitely not for kids."
1,one of the worst movies of 2002,"god!!! what a dumb movie. the fact that Adam Sandler can do this is just wrong....never lives up to what if true and it down right smells like cheese....sick and demented jokes dont help its premise...though Whitey gets a few lifes...nicely animated but a poor outcome. think of this as a guide beofer watching it...Jon Lovitz, Rob Schneider and others contribute voices."
3,Fantastic,"A movie that makes you feel a lot better about the holidays. Although not a childish movie, Eight Crazy Nights is a fantastic Sandler movie."
1,very disappointing,"The movie is vulgar and not meant for children. It is a typical Adam Sandler movie, with foul language and raunchy humor. Not enjoyable at all."
1,Sandler Strikes Out,"8 Crazy Nights might have been a sweet film with a good message for kids, but the scatological humor, offensive language and explicit sexual references made it unsuitable for my 10-year old. The plot, on the other hand, while fine for 10-year olds was too obvious and simplistic for most of the adults in the audience. As a result, while it's probably not the worst film of the year, it is certainly in the running."
1,"Not the worst, but far from good","This film has the dubious honor to be included in the book ""The 50 worst films of all time"". It is definently not one of those, but one can hardly call it a proper film, either. It is rather a loose framework in which 12 new songs could be presented in a more or less natural manner. A great-great-grandfather of music videos, and better than some of those!"
1,Been waiting for a foreign lauguage AOL CD?,"I have, too, but this isn't it. The translation is very choppy, the singers are medicore at best, and the orchestrations are too overwhelming. ""Love Changes Everything"" is shredded to the point where it hurts to listen to it.Oddly, the best song is the French ""Chanson d'Enfance.""I was very surprised, as the Japanese usually put out extramely good cast CDS. Their CATS and Phantom and the Tokoyo Evita are all great. But unless you are a total ALW or AOL fanatic, save your money."
2,"It Rises above the ""Fluff"" Books","The first thing that struck me was that it was easy to read. The print was readable and the illustrations were helpful. I did also find some grammatical errors as an earlier review said. But mostly it was very specific and practical. The chapters most helpful were on ""emotional states"" and music. It's hard to find a book on this subject that's across the board, dealing with many different issues and this one addresses nearly every brain-related research issue from nutrition to memory. As a scientist who also works with high school students, I found his translation of brain research into the classroom to be thoughtful, if not enthusiastic. It's a tough subject to translate, but I did get more than I thought I would out of the book. Mostly it helped me get past the hype and get into the real practical meat of the material. The book's far from perfect, but it's the best I've seen so far on this topic."
2,Itten The Elements of Color,"I was so very pleased to review the art book which arrived in pristine condition. I would have rated it in Excellent condition, rather than very good. I would like to thank the person who made it possible, but have misplaced her name and address."
